run_id,crash_time,mean_repair_queue,repairer_utilization
1,1260.2323064677996,0.006575275442666216,0.08290582709454704
2,20307.874995736853,0.009922820607176254,0.0980862580101146
3,6130.477251638283,0.0069600598653551315,0.09681038856093784
4,1766.5112596703784,0.015868017286112722,0.09847620331650965
5,2450.0587016383333,0.017128455215783656,0.09417551922499126
6,2760.9009724252865,0.008433984676127916,0.1012571222915019
7,439.3224937678032,0.017948436401430613,0.12732093451575005
8,46607.4998728552,0.011829233082997104,0.10060279156795834
9,10369.509260097528,0.010872728092866898,0.10151768783388421
10,11659.878310368398,0.008863901273306345,0.09749578165978981
11,14256.309148166865,0.00809970691452946,0.09428007652416669
12,11852.74955979752,0.008645538385890335,0.09958808367816144
13,558.9914456819951,0.017134003085033753,0.10883686000203593
14,5117.279006660848,0.007769806192214364,0.1004943597375699
15,4526.6078853789695,0.00942836581082822,0.1025732595113378
16,8131.007575888707,0.009711387006248387,0.09641947222252265
17,11030.882494561783,0.01479293315930277,0.10442021421914996
18,2385.7769631849387,0.011346865405118669,0.10482649012169444
19,7840.219529901328,0.01676420292658132,0.10643431439772988
20,1159.8644371485934,0.019273672929529074,0.10537932245176192
21,15769.514752456716,0.010795332212648967,0.10127729304805441
22,3712.318559153122,0.009510002746608074,0.08622647061059753
23,747.2515718639829,0.023830763898628385,0.11184844164800105
24,4897.501228393791,0.012234210600014409,0.09781346602425875
25,5620.085409117029,0.006886264236417747,0.093768845362397
26,24554.11461468474,0.011044075635033093,0.09959309834392731
27,7392.709137354868,0.006648651311844779,0.09190883589902066
28,8063.191584890341,0.007681999591662607,0.09544253084176205
29,10269.1633068546,0.01034408196417473,0.09960848652284618
30,3263.343607055243,0.013742639661298881,0.0939942842492016
31,675.1346504527521,0.008039902904102846,0.09864639666431704
32,6051.352197148922,0.011207629055443197,0.10613331180332956
33,9875.496494524386,0.008933511737099453,0.08918868304122952
34,2251.8704440574293,0.01373739690464285,0.09816219784637825
35,6007.267226722854,0.020587868106441306,0.10510507504388987
36,1625.9163235179124,0.008201006720150531,0.08757763576725833
37,11114.726497254876,0.009231906974219188,0.10222914704877702
38,8829.5588756771,0.015318179936132851,0.10565342510011791
39,9489.423183045066,0.01093553833038271,0.09551703842203275
40,1472.8965741204568,0.027085674364248812,0.10392663445860044
41,4800.982258431394,0.01255262957706711,0.09840079729986786
42,10567.442796034316,0.012999674363457907,0.1131231911365707
43,3097.944547368203,0.008811113682325834,0.11412022538761994
44,11601.578449707538,0.011725726504970257,0.10246531501765296
45,25766.95966114332,0.011624984991947092,0.09667694707722177
46,13371.190210178116,0.00984855909013964,0.10334453506753297
47,2989.2234358876603,0.009422779777125991,0.09788663421655312
48,15909.263582001635,0.009275575324381398,0.09492950690590125
49,33083.06824927586,0.010108185742861205,0.09519464716968896
50,15560.166285353327,0.011325463662569639,0.09962505720395666
51,11373.95385901821,0.010531760876920402,0.09490177072626256
52,2207.149061689475,0.021287772993426365,0.09940025708206039
53,15466.321087423112,0.008825290483298229,0.09923734639549767
54,6586.034466477962,0.010100140226457551,0.10293944972307166
55,2066.2520298575646,0.009056001000300518,0.1145931510200088
56,6820.958692821009,0.007433203219909327,0.09137228293602356
57,4043.5509663104544,0.010989057898645889,0.09716434243523521
58,21267.181295796963,0.010733066908769007,0.10192388298825224
59,37389.53790815324,0.012035381008601815,0.1021998303167368
60,2134.2738278870247,0.01800829078231554,0.10910640116339357
61,1079.1490146528097,0.013181058471148591,0.10569114167575067
62,17470.95493662959,0.009706924704312642,0.09664631637061864
63,3832.0939100015908,0.01492528857007715,0.11100230004252896
64,9285.206164992402,0.008724423051251266,0.09302831927074393
65,9598.252592788982,0.01024370078006973,0.0972680443960512
66,36788.601919362045,0.011174765434244971,0.09984093846132029
67,6082.985202522051,0.010883259065030222,0.09965553241237073
68,5409.407917200426,0.013686563331542027,0.10474196304563536
69,1581.9131364945504,0.018518541158274476,0.10901693141446274
70,16736.08911770578,0.011093486089045002,0.10570813984285742
71,1501.181164377023,0.010618285176838205,0.09976337395649525
72,1918.8826215411837,0.009479839025344392,0.10301475112839642
73,5108.290717506892,0.010413212476325425,0.09310251211235887
74,8315.301473573245,0.014167996144749244,0.10085914373392317
75,3125.4540597836567,0.007913382380897784,0.09972311465925468
76,35995.0625508923,0.009764715737117907,0.09870961055433873
77,10538.737252187733,0.015711460982962635,0.1061371637820235
78,6158.848370436797,0.01348839959101394,0.09893563049346377
79,4306.94354701153,0.012919263482757263,0.11119090178947123
80,22215.1669643862,0.008615129305122675,0.09481294493671
81,80366.19076172433,0.01069908254049679,0.09939878633851226
82,4553.981904522735,0.010201000395362146,0.08760890550091259
83,23962.490225437978,0.010003465935909932,0.09822368607989077
84,2315.8445973915777,0.009769186138416668,0.09644098316091551
85,29742.988914559093,0.009731587564573268,0.09749350804631975
86,32080.623171263804,0.009881774727379158,0.09449126346092987
87,29793.754423592538,0.011567491594663314,0.1022474841865038
88,7922.756263150592,0.013520342249834777,0.09883803604594643
89,38762.86595814285,0.011144355402760344,0.10039269113913203
90,29450.702668150643,0.009274069331941989,0.09953796750269621
91,12276.739262763322,0.009088706203617649,0.10334858702279183
92,14623.472324546321,0.009335894721446702,0.09748663760650632
93,9014.397289398838,0.007155573571480464,0.09324683692296393
94,11290.221832206847,0.010584927931552099,0.09528937681852442
95,10980.922436265619,0.012520863089858733,0.1046287646644875
96,10510.623849490417,0.008777979559440215,0.09420389351027895
97,9762.621529543529,0.008147398699059357,0.0951476502981206
98,5770.202704491589,0.008864469729624918,0.10531356566254402
99,11007.05863814212,0.010699394539773248,0.10023722215879173
100,7943.17396153247,0.01268688916388957,0.10286088323080504
101,5204.03938733498,0.012109474065893194,0.09805170029454263
102,21053.99570839572,0.008697917256905035,0.09969290682589484
103,4537.702364085248,0.0062396110502197745,0.09818816583219811
104,26103.544675700115,0.009446576378926388,0.10008679242486548
105,11296.753683207457,0.009669483661616221,0.09441359803210196
106,1646.9839735284384,0.008662379998541147,0.09729825126158263
107,5873.476926510153,0.010589097378961384,0.10137662148805889
108,19173.526904211143,0.0097582331880875,0.10188125884092698
109,5074.602311597348,0.00980512355641955,0.0996917946636518
110,11983.994960443277,0.012004984637600363,0.09770265391845016
111,3596.802759149109,0.007275145789922934,0.1004852060451559
112,2767.567503613586,0.01750742545309183,0.11125207100736818
113,15418.172227878005,0.013262448619397049,0.10232427148645913
114,12430.002830885576,0.01280657370737254,0.09876123142547812
115,1196.3646958036943,0.010881267976684761,0.09390839394977492
116,11389.609652943604,0.0069469626323925785,0.09449994299793724
117,13401.820230469968,0.011449200865469647,0.10288078184431733
118,6011.6774743496835,0.009736069035358227,0.09872828545116065
