id,arrival_time,service_start,departure_time,wait_time,service_time,system_time,server_id
1,0.14518451436852475,0.14518451436852475,0.953382066227811,0.0,0.8081975518592862,0.8081975518592862,1
2,1.1000661868600816,1.1000661868600816,1.2354529452088474,0.0,0.13538675834876576,0.1353867583487658,1
3,1.1668865652358247,1.1668865652358247,2.260933551976625,0.0,1.0940469867408003,1.0940469867408003,2
4,3.2459128344266497,3.2459128344266497,4.662535470124265,0.0,1.4166226356976148,1.4166226356976153,1
5,5.090964448049499,5.090964448049499,6.565156906612177,0.0,1.4741924585626778,1.474192458562678,1
6,6.233076117915141,6.233076117915141,11.53961579300244,0.0,5.306539675087298,5.306539675087299,2
7,7.00042418448044,7.00042418448044,13.088900542984039,0.0,6.0884763585036,6.088476358503599,1
8,9.074576189206887,11.53961579300244,19.307252509987514,2.465039603795553,7.767636716985073,10.232676320780627,2
9,12.07251491874033,13.088900542984039,14.67747086403558,1.0163856242437088,1.5885703210515414,2.6049559452952504,1
10,12.589468762893906,14.67747086403558,15.965902484445337,2.088002101141674,1.288431620409757,3.3764337215514306,1
11,14.084051791984876,15.965902484445337,17.598808397432826,1.8818506924604606,1.6329059129874874,3.5147566054479498,1
12,16.71739540360808,17.598808397432826,19.207656980560817,0.8814129938247461,1.6088485831279897,2.4902615769527365,1
13,17.764608590828,19.207656980560817,20.066189386408723,1.443048389732816,0.8585324058479079,2.3015807955807226,1
14,19.34885807784739,19.34885807784739,20.104195165880917,0.0,0.7553370880335293,0.755337088033528,2
15,21.846809836465457,21.846809836465457,22.40076522527965,0.0,0.5539553888141899,0.5539553888141917,1
16,22.46027498777888,22.46027498777888,23.58973028284597,0.0,1.1294552950670873,1.129455295067089,1
17,23.006576846012432,23.006576846012432,24.15412890667174,0.0,1.1475520606593086,1.147552060659308,2
18,23.958308829178918,23.958308829178918,27.813500310783358,0.0,3.85519148160444,3.8551914816044395,1
19,24.751230404420415,24.751230404420415,29.637207834900448,0.0,4.885977430480032,4.8859774304800325,2
20,25.2583448452439,27.813500310783358,29.597506792167422,2.555155465539457,1.7840064813840657,4.339161946923522,1
21,27.862054218245664,29.597506792167422,32.48492197034061,1.7354525739217586,2.8874151781731836,4.622867752094944,1
22,28.266776353198757,29.637207834900448,32.14786364815122,1.37043148170169,2.510655813250773,3.881087294952465,2
23,29.944329728919207,32.14786364815122,35.76659914400032,2.203533919232015,3.618735495849094,5.822269415081109,2
24,31.904830245787654,32.48492197034061,34.06828620823623,0.580091724552954,1.5833642378956214,2.1634559624485767,1
25,33.5002078437942,34.06828620823623,46.93893238590455,0.5680783644420302,12.870646177668322,13.43872454211035,1
26,35.341783905664116,35.76659914400032,38.74220131025656,0.42481523833620116,2.975602166256245,3.400417404592446,2
27,35.64677270657071,38.74220131025656,41.27389371407564,3.0954286036858534,2.5316924038190813,5.6271210075049325,2
