time,event,customer_id,queue_length,busy_servers,system_size
0.14518451436852475,arrival,1,0,1,1
0.14518451436852475,service_start,1,0,1,1
0.953382066227811,departure,1,0,0,0
1.1000661868600816,arrival,2,0,1,1
1.1000661868600816,service_start,2,0,1,1
1.1668865652358247,arrival,3,0,2,2
1.1668865652358247,service_start,3,0,2,2
1.2354529452088474,departure,2,0,1,1
2.260933551976625,departure,3,0,0,0
3.2459128344266497,arrival,4,0,1,1
3.2459128344266497,service_start,4,0,1,1
4.662535470124265,departure,4,0,0,0
5.090964448049499,arrival,5,0,1,1
5.090964448049499,service_start,5,0,1,1
6.233076117915141,arrival,6,0,2,2
6.233076117915141,service_start,6,0,2,2
6.565156906612177,departure,5,0,1,1
7.00042418448044,arrival,7,0,2,2
7.00042418448044,service_start,7,0,2,2
9.074576189206887,arrival,8,1,2,3
11.53961579300244,departure,6,1,1,2
11.53961579300244,service_start,8,0,2,2
12.07251491874033,arrival,9,1,2,3
12.589468762893906,arrival,10,2,2,4
13.088900542984039,departure,7,2,1,3
13.088900542984039,service_start,9,1,2,3
14.084051791984876,arrival,11,2,2,4
14.67747086403558,departure,9,2,1,3
14.67747086403558,service_start,10,1,2,3
15.965902484445337,departure,10,1,1,2
15.965902484445337,service_start,11,0,2,2
16.71739540360808,arrival,12,1,2,3
17.598808397432826,departure,11,1,1,2
17.598808397432826,service_start,12,0,2,2
17.764608590828,arrival,13,1,2,3
19.207656980560817,departure,12,1,1,2
19.207656980560817,service_start,13,0,2,2
19.307252509987514,departure,8,0,1,1
19.34885807784739,arrival,14,0,2,2
19.34885807784739,service_start,14,0,2,2
20.066189386408723,departure,13,0,1,1
20.104195165880917,departure,14,0,0,0
21.846809836465457,arrival,15,0,1,1
21.846809836465457,service_start,15,0,1,1
22.40076522527965,departure,15,0,0,0
22.46027498777888,arrival,16,0,1,1
22.46027498777888,service_start,16,0,1,1
23.006576846012432,arrival,17,0,2,2
23.006576846012432,service_start,17,0,2,2
23.58973028284597,departure,16,0,1,1
23.958308829178918,arrival,18,0,2,2
23.958308829178918,service_start,18,0,2,2
24.15412890667174,departure,17,0,1,1
24.751230404420415,arrival,19,0,2,2
24.751230404420415,service_start,19,0,2,2
25.2583448452439,arrival,20,1,2,3
27.813500310783358,departure,18,1,1,2
27.813500310783358,service_start,20,0,2,2
27.862054218245664,arrival,21,1,2,3
28.266776353198757,arrival,22,2,2,4
29.597506792167422,departure,20,2,1,3
29.597506792167422,service_start,21,1,2,3
29.637207834900448,departure,19,1,1,2
29.637207834900448,service_start,22,0,2,2
29.944329728919207,arrival,23,1,2,3
31.904830245787654,arrival,24,2,2,4
32.14786364815122,departure,22,2,1,3
32.14786364815122,service_start,23,1,2,3
32.48492197034061,departure,21,1,1,2
32.48492197034061,service_start,24,0,2,2
33.5002078437942,arrival,25,1,2,3
34.06828620823623,departure,24,1,1,2
34.06828620823623,service_start,25,0,2,2
35.341783905664116,arrival,26,1,2,3
35.64677270657071,arrival,27,2,2,4
35.76659914400032,departure,23,2,1,3
35.76659914400032,service_start,26,1,2,3
38.74220131025656,departure,26,1,1,2
38.74220131025656,service_start,27,0,2,2
41.27389371407564,departure,27,0,1,1
43.24037918332416,arrival,28,0,2,2
43.24037918332416,service_start,28,0,2,2
43.422559653604495,departure,28,0,1,1
44.13662465966471,arrival,29,0,2,2
44.13662465966471,service_start,29,0,2,2
44.51576453542256,arrival,30,1,2,3
46.93893238590455,departure,25,1,1,2
46.93893238590455,service_start,30,0,2,2
47.32023809770424,departure,30,0,1,1
47.53028135464897,arrival,31,0,2,2
47.53028135464897,service_start,31,0,2,2
48.01450268934312,departure,31,0,1,1
48.32900949875172,arrival,32,0,2,2
48.32900949875172,service_start,32,0,2,2
48.6531068449221,arrival,33,1,2,3
49.042173131133424,arrival,34,2,2,4
49.19501638535387,departure,32,2,1,3
49.19501638535387,service_start,33,1,2,3
50.10831477609577,departure,29,1,1,2
50.10831477609577,service_start,34,0,2,2
50.23858764406882,arrival,35,1,2,3
50.71357534371217,departure,34,1,1,2
50.71357534371217,service_start,35,0,2,2
50.796701077419364,departure,35,0,1,1
51.25217434960348,arrival,36,0,2,2
51.25217434960348,service_start,36,0,2,2
52.11135442046897,arrival,37,1,2,3
