t,S,I,R
0.0,990.0,10.0,0.0
0.05,989.7510094283421,10.123221941265898,0.12576863039201994
0.1,989.4990153201708,10.247898072231514,0.2530866075976502
0.15000000000000002,989.243983845902,10.374043948021487,0.3819722060765054
0.2,988.9858808548255,10.50167524966038,0.5124438955141676
0.25,988.7246718735825,10.630807784021933,0.6445203423956541
0.3,988.4603221046789,10.761457483743115,0.7782204115780327
0.35000000000000003,988.1927964250364,10.893640407101916,0.913563167861736
0.4,987.9220593845821,11.027372737857792,1.0505678775601168
0.45,987.6480752048795,11.16267078505369,1.1892540100667697
0.5,987.3708077778014,11.299550982778545,1.3296412394201316
0.55,987.0902206642461,11.438029889889096,1.4717494458648617
0.6000000000000001,986.8062770929007,11.578124189689905,1.6155987174094824
0.6500000000000001,986.5189399590499,11.719850689570375,1.7612093513797547
0.7000000000000001,986.2281718234352,11.863226320597605,1.90860185596724
0.7500000000000001,985.9339349111638,12.008268137063855,2.0577969517724917
0.8,985.6361911106704,12.1549933159874,2.2088155733422976
0.8500000000000001,985.3349019727342,12.303419156565528,2.3616788707003895
0.9000000000000001,985.0300287095507,12.453563079578393,2.516408210871004
0.9500000000000001,984.721532193863,12.605442626742459,2.673025179394682
1.0,984.4093729581523,12.759075460012216,2.831551581835664
1.05,984.0935111938911,12.914479360828823,2.992009445280222
1.1,983.7739067508605,13.071672229314357,3.154421019825268
1.1500000000000001,983.4505191365333,13.230672083410285,3.3188087800565373
1.2000000000000002,983.1233075155258,13.391497057958757,3.485195426515651
1.2500000000000002,982.7922307091195,13.554165403725348,3.653603887155326
1.3,982.4572471948564,13.71869548636178,3.824057318782001
1.35,982.1183151062079,13.885105785307214,3.9965791084851094
1.4000000000000001,981.7753922323213,14.053414892626625,4.1711928750522285
1.4500000000000002,981.4284360178461,14.223641511784773,4.347922470369308
1.5000000000000002,981.0774035628408,14.39580445635429,4.52679198080516
1.55,980.7222516227645,14.569922648656336,4.7078257285793885
1.6,980.3629366085551,14.746015118332307,4.891048273112885
1.6500000000000001,979.9994145867952,14.924101000845015,5.07648441236004
1.7000000000000002,979.6316412799707,15.104199535907783,5.264159184121772
1.7500000000000002,979.259572066822,15.286330065839865,5.454097867338454
1.8,978.8831619827919,15.470512033846566,5.646325983361819
1.85,978.5023657205729,15.656764982222453,5.840869297204884
1.9000000000000001,978.1171376307553,15.845108550476015,6.037753818768935
1.9500000000000002,977.7274317225796,16.035562473374107,6.237005804046555
2.0,977.333201664796,16.228146578904518,6.438651756299709
2.05,976.9344007866334,16.42288078615498,6.64271842721184
2.1,976.5309820788805,16.619785103106913,6.849232818012913
2.15,976.1228981950818,16.81887962434219,7.058222180576352
2.1999999999999997,975.7101014528524,17.02018452866122,7.269714018486746
2.25,975.2925438353126,17.223720076610586,7.483736088077226
2.3,974.8701769926465,17.429506607918537,7.700316399435361
2.35,974.4429522437875,17.63756453883651,7.9194832173764125
2.4,974.0108205782327,17.84791435938499,8.14126506238276
2.45,973.5737326579903,18.060576630501885,8.365690711508293
2.5,973.1316388196623,18.275571981091655,8.592789199246548
2.55,972.6844890766657,18.492921104973416,8.82258981836131
2.6,972.2322331215959,18.712644757726196,9.055122120678448
2.65,971.7748203287333,18.93476375342959,9.290415917837642
2.7,971.3121997566998,19.15929896129798,9.528501282002726
2.75,970.8443201512647,19.386271302206538,9.769408546529267
2.8,970.3711299483053,19.615701745107174,10.013168306588044
2.85,969.8925772769248,19.847611303332695,10.259811419743023
2.9,969.4086099627308,20.082021030787303,10.509369006482434
2.95,968.9191755312773,20.318952018021673,10.76187245070149
3.0,968.4242212116743,20.558425388190813,11.017353400135347
3.05,967.9236939403668,20.800462292892913,11.27584376674076
3.1,967.417540365088,21.045083907887413,11.537375727024994
3.15,966.9057068489896,21.2923114286905,11.801981722320438
3.2,966.3881394749508,21.542166066046295,12.069694459003394
3.25,965.864784050073,21.794669041271984,12.34054690865546
3.3,965.3355861103594,22.049841581475143,12.61457230816594
3.35,964.8004909255852,22.307704914641555,12.891804159773653
3.4,964.259443504362,22.56828026459182,13.172276231046533
3.45,963.712388599398,22.831588845805065,13.45602255479735
3.5,963.1592707129583,23.097651858108122,13.743077428933887
3.55,962.6000341025299,23.366490481228528,14.033475416241888
3.6,962.0346227866916,23.63812586920974,14.327251344099055
3.65,961.462980551195,23.912579144686998,14.62444030411837
3.7,960.8850509552591,24.18987139302227,14.925077651718977
3.75,960.3007773380807,24.470023656296803,15.229199005622878
3.8,959.710102825565,24.753056927159772,15.536840247275617
3.85,959.1129703372795,25.038992142531587,15.848037520189187
3.9,958.5093225936346,25.327850177160485,16.162827229205302
3.95,957.8991021232921,25.619651837031043,16.481246039677192
4.0,957.282251270809,25.91441785262328,16.803330876568097
4.05,956.6587122045147,26.212168872021135,17.12911892346454
4.1,956.0284269246288,26.51292545386907,17.458647621502504
4.15,955.39133727162,26.816708060175667,17.791954668204642
4.2,954.7473849348107,27.123537048963133,18.12907801622653
4.25,954.0965114612286,27.43343266676165,18.470055872010096
4.3,953.4386582647105,27.746415040947625,18.814926694342248
4.35,952.7737666352587,28.062504171924928,19.16372919281675
4.4,952.1017777486546,28.38171992514829,19.51650232619737
4.45,951.4226326763319,28.70408202298809,19.87328530068034
4.5,950.7362723955104,29.02961003643586,20.23411756805413
4.55,950.0426377995959,29.3583233766499,20.59903882375454
4.6,949.3416697088468,29.69024128634049,20.968089004813095
4.65,948.6333088813093,30.025382830994264,21.341308287696783
4.7,947.9174960240259,30.3637668899374,21.71873708603707
4.75,947.1941718045168,30.7054121472374,22.100416048246185
4.8,946.4632768625385,31.050337082443303,22.486386055018695
4.8500000000000005,945.7247518221199,31.398559961164267,22.876688216716303
4.9,944.97853730388,31.750098825486614,23.271363870633877
4.95,944.2245739376264,32.104971484229495,23.670454578144675
5.0,943.4628023752383,32.46319550303945,24.07400212172277
5.05,942.6931633038356,32.82478819432428,24.482048501840644
5.1000000000000005,941.9155974592338,33.18976660702675,24.894635933739952
5.15,941.1300456396883,33.55814751623876,25.311806844073473
5.2,940.3364487199275,33.92994741265681,25.733603867416228
5.25,939.5347476654772,34.30518249187956,26.160069842643807
5.3,938.7248835472759,34.68386864354872,26.591247809175954
5.3500000000000005,937.906797556583,35.066021440334225,27.02718100308341
5.4,937.0804310201793,35.451656126765265,27.467912853056127
5.45,936.2457254158612,35.840787607908496,27.913486976230903
5.5,935.4026223882289,36.233430437895144,28.36394717387655
5.55,934.5510637647672,36.62959880829878,28.819337426934723
5.6000000000000005,933.6909915722204,37.02930653636574,29.279701891414533
5.65,932.8223480532612,37.43256705310028,29.745084893639145
5.7,931.9450756834513,37.83939339120684,30.215530925342538
5.75,931.0591171884942,38.24979817289182,30.691084638614658
5.8,930.1644155617798,38.6637935975275,31.171790840693248
5.8500000000000005,929.260914082219,39.08139142918104,31.657694488600598
5.9,928.3485563323655,39.502602984011446,32.14884068362361
5.95,927.4272862168273,39.92743911753783,32.64527466563551
6.0,926.4970479809607,40.35591021178225,33.1470418072576
6.05,925.5577862298501,40.788026162290855,33.654187607859576
6.1000000000000005,924.6094459475667,41.22379636503697,34.16675768739683
6.15,923.6519725167068,41.66322970321029,34.68479778008334
6.2,922.6853117382054,42.10633453389629,35.20835372789874
6.25,921.709409851422,42.553118674650264,35.737471473928196
6.3,920.7242135544959,43.003589389970735,36.272197055533866
6.3500000000000005,919.7296700249669,43.45775337767692,36.81257659735662
6.4,918.7257269406581,43.91561675519547,37.35865630414695
6.45,917.7123325008149,44.37718504576171,37.9104824534239
6.5,916.6894354474986,44.842463164540874,38.468101387961035
6.55,915.656985087227,45.311455404675144,39.031559508098375
6.6000000000000005,914.6149313128585,45.784165423262415,39.6009032638796
6.65,913.5632246257139,46.260596227273034,40.17617914701352
6.7,912.5018161579304,46.740750159410894,40.757433682659155
6.75,911.4306576950411,47.22462888392563,41.34471342103379
6.8,910.3497016987743,47.71223337238279,41.93806492884339
6.8500000000000005,909.2589013300665,48.20356388939912,42.53753478053495
6.9,908.1582104722798,48.69861997835039,43.1431695493703
6.95,907.04758375462,49.197400447059366,43.75501579832119
7.0,905.9269765757434,49.699903353471775,44.37312007078534
7.05,904.7963451275486,50.20612599132845,44.99752888112344
7.1000000000000005,903.6556464191416,50.7160648758419,45.628288705017056
7.15,902.504838300967,51.22971572938601,46.265445969647544
7.2,901.3438794890967,51.747073467207535,46.90904704369628
7.25,900.1727295896654,52.26813218316869,47.55913822716641
7.3,898.991349123444,52.792885135529886,48.2157657410266
7.3500000000000005,897.7996995505407,53.321324732782344,48.87897571667747
