migration_intensity,peak_mean,peak_time_mean
0.0,0.24170833333333336,22.125
0.05,0.5905833333333333,21.25
0.1,0.70725,23.625
0.2,0.7152083333333334,26.625
0.3,0.6204166666666666,20.75
0.4,0.7163333333333334,24.75
