t,u,u_analytic,abs_error
0.0,1.0,1.0,0.0
0.1,1.03045453375,1.030454533953517,2.0351698104548177e-10
0.2,1.0618365461259298,1.0618365465453596,4.1942982420550834e-10
0.30000000000000004,1.0941742830569055,1.0941742837052104,6.483049652672435e-10
0.4,1.127496850688644,1.1274968515793757,8.907317106121582e-10
0.5,1.16183424158096,1.161834242728283,1.1473231253944505e-9
0.6,1.197217361703093,1.1972173631218102,1.41871714376407e-9
0.7000000000000001,1.2336780582511657,1.2336780599567432,1.7055774570451376e-9
0.8,1.2712491483128103,1.2712491503214047,2.0085944019143653e-9
0.9,1.3099644484047617,1.3099644507332473,2.3284856265348708e-9
1.0,1.3498588049100047,1.3498588075760032,2.6659985330468317e-9
1.1,1.390968125441871,1.3909681284637803,3.021909167344461e-9
1.2000000000000002,1.4333294111633148,1.4333294145603404,3.3970255497450808e-9
1.3000000000000003,1.4769807900904557,1.4769807938826427,3.792187008855308e-9
1.4000000000000001,1.521961551410367,1.5219615556186339,4.208266846106312e-9
1.5000000000000002,1.5683121808439964,1.568312185490169,4.6461725577984225e-9
1.6,1.616074397086046,1.6160744021928934,5.10684738941336e-9
1.7000000000000002,1.6652911893546138,1.6652911949458864,5.591272556060289e-9
1.8000000000000003,1.7160068560843915,1.7160068621848585,6.1004670204312106e-9
1.9000000000000001,1.768267044798245,1.7682670514337353,6.635490379380826e-9
2.0,1.8221187931930658,1.8221188003905089,7.197443085971145e-9
2.1,1.8776105714768734,1.8776105792643432,7.787469780140555e-9
2.2,1.9347923259952726,1.9347923344020317,8.40675906665922e-9
2.3000000000000003,1.9937155241865367,1.9937155332430825,9.056545735575128e-9
2.4000000000000004,2.0544332009057746,2.054433210643888,9.73811342674935e-9
2.5000000000000004,2.11700000615988,2.117000016612675,1.0452794629856044e-8
2.6,2.1814722542962266,2.181472265498201,1.1201974459140729e-8
2.7,2.2479079746893795,2.2479079866764717,1.198709220773253e-8
2.8000000000000003,2.3163669639714515,2.316366976781092,1.2809640459465754e-8
2.9000000000000004,2.386910839853105,2.386910853524277,1.3671171750218036e-8
3.0000000000000004,2.4596030965836526,2.45960311115695,1.4573297235642713e-8
3.1,2.534509162100164,2.5345091776178545,1.5517690687971708e-8
3.2,2.6116964569170276,2.611696473423118,1.6506090272372376e-8
3.3000000000000003,2.6912344548089626,2.691234472349262,1.7540299435125917e-8
3.4000000000000004,2.773194745342105,2.7731947639642978,1.8622192676787108e-8
3.5000000000000004,2.8576510983094487,2.857651118063164,1.9753715108095093e-8
3.6,2.9446795301286386,2.944679551065524,2.093688555859785e-8
3.7,3.034358372261875,3.034358394435676,2.2173800573455082e-8
3.8000000000000003,3.1267683417195196,3.126768365186156,2.3466636633884264e-8
3.9000000000000004,3.221992613710848,3.2219926385285005,2.481765237760669e-8
4.0,3.320116896507356,3.3201169227365472,2.6229191263382745e-8
4.1,3.4212295085859843,3.421229536289673,2.7703688676439242e-8
4.2,3.5254214581217123,3.5254214873653824,2.92436701521126e-8
4.3,3.632786524901054,3.6327865557528085,3.0851754484473304e-8
4.3999999999999995,3.7434213447301983,3.7434213772608618,3.2530663496288525e-8
4.5,3.8574254964137547,3.857425530696974,3.428321937448686e-8
4.6,3.9749015913823977,3.9749016274947477,3.6112349999228854e-8
4.7,4.095955366050082,4.095955404071176,3.80210938288883e-8
4.8,4.2206957769839475,4.220695816996552,4.0012604785033545e-8
4.9,4.349235098972588,4.349235141062741,4.2090153584695145e-8
5.0,4.481689026080933,4.4816890703380645,4.425713129307951e-8
5.1,4.61817677578272,4.61817682229978,4.651706042579917e-8
5.2,4.758821196264261,4.758821245137854,4.887359317251594e-8
5.3,4.903748876996106,4.903748928326621,5.133051494965457e-8
5.4,5.053090262672109,5.053090316563868,5.38917586112575e-8
5.5,5.206979770618453,5.206979827179849,5.6561395567200634e-8
5.6,5.36555591177832,5.3655559711219745,5.934365443494016e-8
5.7,5.528961415381085,5.528961477624004,6.224291926315573e-8
5.8,5.697343357408256,5.697343422671991,6.526373486082093e-8
5.9,5.870853292971784,5.8708533613826015,6.841081745534439e-8
6.0,6.049647392723892,6.049647464412945,7.168905291621286e-8
6.1,6.233886583421201,6.233886658524717,7.51035154067381e-8
6.2,6.423736692769674,6.423736771429133,7.865945850227263e-8
6.3,6.619368598680742,6.619368681043077,8.236233473013499e-8
6.4,6.820958383072955,6.8209584692907494,8.621779468143131e-8
6.5,7.028687490357595,7.028687580589293,9.023169766919636e-8
6.6,7.242742890750893,7.24274298516101,9.441011705746405e-8
6.7,7.463317248559839,7.463317347319193,9.875935358394372e-8
6.8,7.690609095593062,7.690609198878998,1.032859362481986e-7
6.9,7.924823009852858,7.924823117849487,1.0799662852889469e-7
7.0,8.166169799669198,8.16616991256765,1.1289845147643973e-7
7.1,8.414866693441455,8.41486681144013,1.1799867394302055e-7
7.2,8.67113753515862,8.671137658463456,1.233048365634204e-7
7.3,8.935212985874,8.93521311469875,1.288247499786621e-7
7.4,9.207330731315738,9.207330865882252,1.3456651437593337e-7
7.5,9.487735695820005,9.487735836358526,1.4053852126494348e-7
7.6,9.776680262779434,9.776680409528904,1.46749469465135e-7
7.7,10.07442450180521,10.074424655013587,1.5320837754018157e-7
7.8,10.381236402807263,10.381236562731843,1.5992458024527423e-7
7.9,10.697392117203284,10.697392284111054,1.6690776938332874e-7
8.0,11.023176206473636,11.023176380641601,1.7416796538327617e-7
8.1,11.358881898285883,11.358882080001454,1.8171557059076804e-7
8.2,11.704811350419495,11.704811539980849,1.895613532809648e-7
8.3,12.061275922728228,12.06127612044472,1.9771649206745678e-7
8.4,12.428596457385018,12.428596663577544,2.0619252616427275e-7
8.5,12.80710356766158,12.80710378266303,2.1500144953279232e-7
8.6,13.197137935502674,13.197138159658353,2.241556789073229e-7
8.7,13.599050618162845,13.599050851830924,2.3366807866409545e-7
8.8,14.013203364181644,14.013203607733615,2.4355197147940544e-7
8.9,14.439968938981727,14.43996919280288,2.538211543168245e-7
