beta,peak_mean,final_rec_mean,deaths_mean
0.1,0.0005833333333333333,0.0006249999999999999,0.0
0.2,0.015583333333333334,0.04041666666666666,2.75
0.3,0.13529166666666667,0.2333333333333333,14.125
0.4,0.20220833333333335,0.2640416666666667,16.375
0.5,0.24170833333333336,0.27408333333333335,20.75
0.6,0.2625416666666667,0.281625,16.5
0.7,0.2735416666666667,0.282625,18.25
0.8,0.32137499999999997,0.324625,21.875
